Date,Open,High,Low,Close,Adj Close,Volume
2004-01-02,85.089996,85.089996,84.080002,84.440002,44.883499,867100
2004-01-05,84.010002,84.379997,83.900002,84.220001,44.766590,626400
2004-01-06,84.540001,85.389999,84.500000,85.150002,45.260902,690500
2004-01-07,85.099998,85.699997,84.889999,85.489998,45.441643,252000
2004-01-08,85.300003,85.639999,85.180000,85.459999,45.425697,513300
2004-01-09,86.879997,87.070000,86.010002,86.949997,46.217670,1623000
2004-01-12,86.599998,87.379997,86.599998,86.879997,46.180481,863200
2004-01-13,86.680000,87.470001,86.559998,87.470001,46.494099,465700
2004-01-14,87.489998,87.919998,87.150002,87.900002,46.722652,1180300
2004-01-15,87.949997,88.309998,87.599998,88.230003,46.898064,1537200
2004-01-16,88.680000,88.800003,87.610001,87.610001,46.568512,751800
2004-01-20,87.500000,87.930000,87.500000,87.589996,46.557884,629600
2004-01-21,87.750000,87.809998,87.440002,87.800003,46.669498,570500
2004-01-22,87.949997,88.480003,87.709999,88.440002,47.009716,443600
2004-01-23,88.559998,88.900002,87.260002,87.379997,46.446243,1021300
2004-01-26,87.300003,87.360001,86.669998,86.849998,46.164532,639500
2004-01-27,86.730003,87.400002,86.730003,87.389999,46.451553,576100
2004-01-28,87.250000,87.849998,85.860001,86.620003,46.042297,1823800
2004-01-29,86.220001,86.580002,86.019997,86.440002,45.946602,814500
2004-01-30,86.900002,87.220001,86.599998,87.040001,46.265503,526200
2004-02-02,86.449997,86.879997,86.379997,86.500000,46.168388,335600
2004-02-03,86.919998,86.989998,86.599998,86.940002,46.403244,350900
2004-02-04,86.790001,86.860001,86.480003,86.769997,46.312454,645700
2004-02-05,86.839996,87.080002,86.239998,86.430000,46.131054,971400
2004-02-06,87.139999,87.449997,87.029999,87.379997,46.638077,798200
2004-02-09,87.559998,87.639999,87.389999,87.639999,46.776859,272400
2004-02-10,87.480003,87.550003,87.040001,87.150002,46.515335,203200
2004-02-11,87.019997,88.199997,86.910004,87.800003,46.862267,1335100
2004-02-12,87.849998,88.000000,87.260002,87.430000,46.664757,256700
2004-02-13,87.800003,88.099998,87.570000,87.800003,46.862267,513600
2004-02-17,87.860001,87.889999,87.529999,87.739998,46.830212,644100
2004-02-18,88.099998,88.180000,87.690002,87.860001,46.894260,990900
2004-02-19,87.529999,87.949997,87.470001,87.949997,46.942284,668900
2004-02-20,87.750000,87.830002,87.199997,87.339996,46.616734,1009800
2004-02-23,87.389999,87.879997,87.320000,87.879997,46.904922,504000
2004-02-24,88.050003,88.389999,87.860001,88.040001,46.990353,940900
2004-02-25,88.220001,88.360001,88.029999,88.180000,47.065083,572300
2004-02-26,87.849998,87.959999,87.540001,87.900002,46.915638,399100
